numVotes,averageRating
177,6.8
456,7.2
5470,7.3
1145,7.2
22,5.7
155,6.2
232,6.0
477,7.0
114,7.7
2087,7.7
431,6.6
12,7.3
245,7.2
271,6.8
42,5.7
494,7.1
15,6.4
179,6.7
457,7.1
283,6.5
13543,7.6
301,6.4
151,6.8
1459,7.4
9,6.6
2582,7.5
703,6.7
121,7.0
1053,7.2
187,6.6
99,6.9
1982,7.1
45,6.9
230,6.4
443,7.0
290,6.8
94,7.4
318,7.2
96,5.7
940,7.6
259,6.7
108,6.6
133,7.2
970,6.7
132,6.7
262,7.1
968,6.9
341,7.0
149,6.9
8885,8.2
54,6.7
933,6.9
143,6.5
4553,7.3
242,7.1
61228,8.1
287,6.3
62,6.4
106,6.1
21,5.8
1160,7.5
133,6.1
80,6.6
91,6.8
92,6.9
102,7.5
158,6.9
192,6.8
68,7.2
135,6.6
16,7.2
43,6.8
577,7.3
58,5.7
333,7.0
140,6.4
113,6.4
234,7.1
676,6.9
1567,7.6
7431,7.3
2506,7.1
14882,7.2
70,6.6
4882,7.5
218,6.6
67,6.3
360,6.0
1769,7.5
23,5.3
2605,7.8
61,6.6
3856,7.3
525,6.0
35,5.8
21,6.7
16,5.0
88,6.1
4997,7.4
101,6.7
6245,7.2
128,6.2
1707,7.7
1946,7.8
192,5.9
593,6.0
285,6.5
964,6.5
758,7.5
62,6.5
22,7.1
29,7.3
20679,7.4
96,6.8
92,6.9
109,7.1
134,7.4
72,6.2
482,7.0
77,5.7
696,7.1
62,6.9
9421,7.2
429,7.3
17600,7.7
237,6.1
52,5.9
287,6.6
429,7.2
48,6.3
168,6.5
1272,6.8
550,6.6
263,6.5
1014,6.1
1983,8.3
37,6.6
49,5.7
2101,7.2
664,6.3
740,6.9
17,6.3
93,5.6
178,6.4
25,6.3
191,6.6
1416,7.4
280,6.1
226,7.0
174,7.0
575,6.3
173,6.7
77,6.1
92,6.2
53,6.5
3703,7.5
1434,7.5
140,6.2
3738,7.3
1665,7.6
1977,7.4
155,5.7
48,6.7
81,6.0
283,6.6
141,6.6
963,7.0
374,6.7
2559,7.6
91,6.5
317,6.8
322,5.9
33,6.2
248,6.7
113,6.5
58,6.8
54,5.6
126,6.4
586,7.0
146,6.0
167,6.8
39045,8.1
159,6.6
710,7.3
511,7.4
70,6.0
64,6.2
637,6.9
8121,7.7
936,7.4
201,6.5
372,7.2
8465,7.5
961,7.3
314,7.0
2419,7.5
115,6.1
3267,7.5
81,5.6
1402,7.0
330,7.4
17,4.9
46,6.2
27,5.8
29,5.8
92,6.4
427,6.8
10024,7.7
245,6.6
105,7.0
16,6.2
204,6.1
794,7.4
269,6.6
332,6.9
60,6.0
221,7.3
45,6.5
302,6.8
161,6.8
72,5.7
1039,7.8
561,6.9
674,7.0
8321,7.7
81,6.6
417,6.9
31518,7.9
484,7.3
306,6.8
123,6.3
230,6.7
16,6.0
13,5.9
148,6.2
403,7.1
695,7.2
97,5.5
377,6.6
696,7.3
47,5.7
47,5.7
165,6.8
1604,7.2
98,6.1
3671,7.3
211,6.6
226,5.9
102,5.5
477,7.0
660,6.8
1820,7.3
196,6.4
103,6.4
158,5.9
69,6.4
2477,7.2
1785,7.3
1594,6.4
63,5.8
656,7.1
195,6.7
10975,7.8
427,7.1
727,7.0
1088,7.5
195,7.4
624,7.2
152,6.6
338,6.7
186,6.4
125,7.2
4858,7.2
21301,8.3
365,6.4
20,5.7
132,6.7
18,6.3
105,7.1
257,6.8
71,6.4
499,6.9
126,6.5
1289,7.0
56,6.2
28286,7.9
317,6.7
907,7.0
277,7.2
250,6.7
218,6.8
528,6.5
288,7.6
2604,7.9
1299,7.1
321,6.8
25,6.2
620,6.9
291,7.4
226,6.2
683,6.6
226,6.9
1137,7.4
21,5.1
98,5.9
221,7.2
255,6.5
84,6.0
206,6.5
181,7.0
697,7.2
13846,7.8
265,7.2
19,4.7
1153,7.1
999,7.0
6466,7.7
162,6.4
5704,7.6
587,7.1
298,6.9
251,6.6
1008,6.8
32,5.5
98,6.7
533,7.2
81,5.7
135,5.6
291,6.9
100,6.2
14,6.1
210,6.6
9110,7.2
995,6.9
179,7.1
88,6.5
73,6.4
72,6.0
870,7.4
13,6.0
48,6.3
146,7.1
48,6.3
61,4.9
254,6.5
300,6.1
79,5.6
1037,5.8
1192,6.8
455,7.2
472,6.6
83,6.6
44,5.4
77,5.8
94,7.0
387,6.7
242,6.8
13518,7.9
51,5.8
45,5.7
397,7.4
42,7.4
164,6.6
459,7.0
272,7.0
43,6.0
124,6.9
882,6.2
12,5.2
267,6.1
2241,5.5
1833,7.3
167,5.7
172,5.9
40,5.9
138,5.3
131,6.7
87,5.6
104,7.2
742,6.9
4354,6.9
501,6.6
111,6.2
12805,7.8
475,6.9
447,7.1
601,7.3
219,6.7
374,6.2
110,6.6
756,6.9
31,6.1
239,6.7
6003,7.5
58,5.0
73,4.9
187,6.6
280,7.2
39,5.6
188,6.7
416,5.6
43,7.1
462,6.6
1606,7.2
160,5.8
6266,7.6
579,6.2
13177,8.0
133,5.6
135,6.3
72,6.0
291,5.7
85,6.0
212,6.1
4876,7.6
1649,7.4
45,6.2
6936,7.4
276,6.3
96,6.2
396,7.0
126,6.4
178,5.8
25,7.5
819,6.9
303,7.2
105,6.2
287,6.4
54,5.6
3478,7.0
263,6.0
96,6.8
88,5.8
80,5.6
3456,7.2
197,6.5
942,6.0
110,6.6
33,6.1
205,5.6
469,5.4
465,7.5
48,5.7
143,6.3
411,7.2
34,7.0
5417,7.6
124,6.6
2684,7.2
870,7.8
129,6.8
42,6.6
9528,7.5
410,6.1
78,4.6
679,6.8
39,5.7
322,6.7
304,6.9
185,6.9
70,6.6
144,6.1
58,6.0
154,5.9
48,5.9
133,6.7
305,5.9
38,7.9
87,5.6
28,5.6
248,6.8
205,6.2
739,6.6
11190,7.9
158,5.6
53,5.9
335,5.9
915,7.2
346,6.7
67111,8.1
18,4.9
292,6.9
190,6.0
41,4.9
1917,7.4
8621,7.7
124,6.4
425,6.1
592,6.5
20382,7.3
12422,7.3
212,6.1
20025,7.8
150,6.8
541,5.1
718,6.8
1400,6.0
71,5.9
790,5.4
113,6.1
245,6.6
151,6.3
115,6.2
71,6.6
32,6.0
69729,8.1
76,5.8
4486,7.3
146,5.4
155,5.9
356,6.9
88,5.9
84,6.4
4320,6.1
104,6.2
352,6.9
518,6.8
690,6.7
262,6.3
158,6.5
50,5.7
302,5.8
396,6.6
696,6.7
100,7.0
638,6.8
287,5.8
29,5.2
211,5.8
23,4.5
135,5.8
209,5.9
167,6.8
214,7.2
145,5.8
7016,7.5
13436,7.6
111,4.7
299,6.3
136,5.3
951,6.8
641,7.1
279,6.4
354,5.9
121,4.8
184,6.9
37020,8.1
148,4.5
250,5.1
407,7.4
585,6.3
1121,6.7
172,6.6
146,5.7
155,6.6
181,5.6
23,5.5
6094,7.2
184,6.2
257,6.4
174,6.2
9313,7.1
620,6.1
27,5.2
4369,7.0
155,6.2
222,5.7
63,7.1
1319,7.0
64,6.7
287,6.3
387,6.6
108,5.6
170,5.4
153,6.6
238,6.9
1673,7.7
201,5.4
325,6.4
603,5.7
217,5.2
206,6.1
344,6.6
2172,6.2
609,6.0
9458,6.3
489,5.9
1662,7.4
219,6.7
240,5.7
605,6.0
563,5.5
1831,6.9
444,5.8
2636,6.7
2714,7.6
147,7.0
192,6.1
114,6.4
20,5.8
209,6.1
796,6.7
129,6.5
4357,7.3
25249,8.2
167,6.4
255,5.3
145,6.0
1708,7.4
72,5.7
2301,6.7
352,6.9
647,6.3
365,6.3
786,5.5
930,7.5
102,5.5
30,5.5
537,6.2
57,5.7
117,6.3
75,6.8
1105,6.7
204,6.8
130,6.6
32,6.2
180,6.4
726,6.9
469,5.9
282,6.5
126,6.0
882,7.4
118,5.3
2113,7.2
374,6.9
24381,7.7
1801,7.4
86,6.3
245,6.7
3192,6.6
9100,7.8
52180,8.1
775,7.1
516,6.9
218,6.0
674,6.6
157,5.7
76,7.1
798,7.2
431,6.5
155,6.2
113,6.6
237,6.5
129,5.8
218,6.9
1044,6.2
76,6.1
72,6.2
1717,7.5
38,5.1
127,5.6
242,5.6
854,7.6
28872,7.9
64,6.4
3806,7.1
727,7.1
181,6.5
1198,6.3
57,5.7
132,5.7
756,6.6
1531,6.7
249,4.8
304,6.5
19,4.9
353,5.5
54,4.9
137,5.9
23,5.5
191,6.1
1072,7.4
893,6.7
443,5.5
370,6.6
1110,7.3
854,4.5
1786,7.0
353,5.3
577,7.2
2045,7.1
91,4.1
52,6.4
117,6.8
88,5.3
35,5.6
57,5.6
178,6.0
152,6.7
35,7.5
72,6.4
366,5.8
87,5.3
169,6.2
790,6.1
262,6.3
3247,6.6
211,6.1
178,6.2
685,7.1
756,7.0
177,6.0
100,6.0
359,6.7
52,5.2
481,6.2
248,5.9
640,6.7
5972,7.2
887,6.9
620,6.6
215,6.1
1200,7.0
455,6.2
1088,5.1
78,7.0
1517,6.9
86,5.4
189,5.2
432,6.4
4454,7.5
69,6.2
175,5.9
3263,7.2
194,6.3
2284,6.6
302,6.9
588,7.2
436,6.8
